,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,alpha
107,0.036511015892028806,0.000514125517161516,0.006502866744995117,0.00021331250447643123,0.7953020134228188,0.030792133548871035,0.916331096196868,0.004887686684019069,bow,1,1,True,unigram,1200,0.8
108,0.03915338516235352,0.006452579614194661,0.006999087333679199,0.0013776460363010468,0.7939597315436242,0.03500886269998653,0.9128262490678598,0.004826434340129587,bow,2,1,True,unigram,1200,0.9
118,0.03794209957122803,0.0043856891221117815,0.006452679634094238,0.0003282027285507956,0.7939597315436242,0.03329427316728178,0.9165548098434003,0.0038812867053461975,bow,2,1,True,unigram,1400,0.8
79,0.03611831665039063,0.0004035820918380981,0.006540894508361816,0.00041335132104264094,0.7932885906040269,0.03722261643989813,0.9216256524981356,0.0035987855367676878,bow,4,1,True,unigram,800,0.2
515,0.03917064666748047,0.007720407401534396,0.006800341606140137,0.001245986420942632,0.7932885906040269,0.03758389261744967,0.9108128262490679,0.005337965747404404,bow,4,1,False,unigram,1400,0.9
509,0.036369705200195314,0.0005013415993247623,0.006373977661132813,0.00017822984668069692,0.7926174496644295,0.0384898012320528,0.9343773303504849,0.0036379749195079645,bow,6,1,False,unigram,1400,0.3
109,0.036566972732543945,0.00023622156197478352,0.006569075584411621,0.00022761551036365685,0.7919463087248323,0.03435297689146237,0.9074571215510812,0.004392111654773242,bow,7,1,True,unigram,1200,1.0
103,0.036581015586853026,0.0005803727096000649,0.006482744216918945,0.00016924747689797836,0.7919463087248323,0.036514014788551534,0.9300521998508575,0.005302427691165148,bow,7,1,True,unigram,1200,0.4
513,0.037598466873168944,0.003808372166988636,0.006368684768676758,0.0007232389049920884,0.7919463087248323,0.04158908291229443,0.9187919463087247,0.0050184821352397555,bow,7,1,False,unigram,1400,0.7
516,0.03614089488983154,0.0003023187529137535,0.006236076354980469,0.0001275593765383595,0.7919463087248323,0.03369100777989567,0.907158836689038,0.006106194212060935,bow,7,1,False,unigram,1400,1.0
113,0.036431097984313966,0.0007257746677242726,0.00659031867980957,0.0004912026817244373,0.7919463087248323,0.03315191687309658,0.935048471290082,0.003325742449064552,bow,7,1,True,unigram,1400,0.3
510,0.038710403442382815,0.007699032191734349,0.006638669967651367,0.001356143401350733,0.7919463087248322,0.04015644376282306,0.9295302013422819,0.004274043215781387,bow,12,1,False,unigram,1400,0.4
80,0.03877425193786621,0.007458758641918982,0.007100343704223633,0.001489748001405105,0.791275167785235,0.03361739539964616,0.9190156599552572,0.004706855730964809,bow,13,1,True,unigram,800,0.3
500,0.03864531517028809,0.003812216999663492,0.006506800651550293,0.0008400116182089702,0.791275167785235,0.040763180239087836,0.9245339299030574,0.005000165433032141,bow,13,1,False,unigram,1200,0.5
501,0.04349873065948486,0.011195593516667629,0.007136321067810059,0.0017586545348804478,0.7912751677852349,0.041311982272516506,0.9214019388516034,0.004513869038157064,bow,15,1,False,unigram,1200,0.6
511,0.0366229772567749,0.0009420779818661691,0.006708741188049316,0.0013243613642040962,0.7912751677852349,0.039529004892959005,0.9262490678598061,0.004837942306728889,bow,15,1,False,unigram,1400,0.5
106,0.03747546672821045,0.0028070240105384134,0.006360960006713867,0.0003923686044437648,0.7912751677852349,0.03361739539964615,0.9197613721103656,0.005651691371065296,bow,15,1,True,unigram,1200,0.7
499,0.03643279075622559,0.00029175147770690944,0.006447339057922363,0.00011276671788440655,0.7906040268456376,0.04189123901832817,0.9284116331096197,0.004923959438991559,bow,18,1,False,unigram,1200,0.4
498,0.03616914749145508,0.000326425653335333,0.006252479553222656,0.00011183075744100822,0.7906040268456376,0.04002161480771967,0.9319910514541387,0.00491038855575072,bow,18,1,False,unigram,1200,0.3
522,0.03913283348083496,0.007646737814900914,0.006758189201354981,0.0013429154543541997,0.7906040268456376,0.03934053930134994,0.9258016405667412,0.0043386094579534245,bow,18,1,False,unigram,1600,0.5
105,0.03614518642425537,0.00038048187812876047,0.006342768669128418,0.00017519130385707088,0.7899328859060403,0.03676602932832842,0.9241610738255034,0.0050472099206614945,bow,21,1,True,unigram,1200,0.6
104,0.03606307506561279,0.00028608145737264674,0.006200981140136719,0.00014412937714448258,0.7899328859060403,0.03422818791946308,0.9274422073079792,0.0048905301810796805,bow,21,1,True,unigram,1200,0.5
117,0.038396573066711424,0.005910421999285755,0.0065262079238891605,0.0003230736867267296,0.7899328859060403,0.03261082043827205,0.9199105145413871,0.004194589443825582,bow,21,1,True,unigram,1400,0.7
505,0.0479602575302124,0.012221352273780545,0.007946252822875977,0.0019460711025362355,0.7899328859060403,0.03688833847962764,0.906040268456376,0.004739820606135928,bow,21,1,False,unigram,1200,1.0
514,0.03632752895355225,0.0004039116278432167,0.006307005882263184,0.000240624504629693,0.7899328859060402,0.036396635873708054,0.9143922445935868,0.004666513899228034,bow,25,1,False,unigram,1400,0.8
119,0.03628907203674316,0.0003713741169068792,0.006406021118164062,0.00043856785976093763,0.7892617449664431,0.03358388188777666,0.9117822520507085,0.004669492081865258,bow,26,1,True,unigram,1400,0.9
502,0.03622887134552002,0.0004482577629085721,0.006229305267333984,0.00013127462931634504,0.789261744966443,0.040624821343413595,0.9174496644295301,0.005134595073855924,bow,27,1,False,unigram,1200,0.7
525,0.04557411670684815,0.009587078524215633,0.007147741317749023,0.0014226282135534035,0.7892617449664429,0.03515651235894978,0.913571961222968,0.004429931913580662,bow,28,1,False,unigram,1600,0.8
