,adjusted_rand,homogeneity,completeness,v_measure,vec_name,fs_name,clust_name,repetition,n_clusters,noise
0,0.22519815306021151,0.26261703951226245,0.26862997986492104,0.26558948083726097,bow-binary,chi_k-all,kmeans-6-cousine,1,6.0,0.0
0,0.16968103784435115,0.18492906456478814,0.2077533128649654,0.19567787105611406,bow-binary,chi_k-all,kmeans-7-cousine,1,7.0,0.0
0,0.19462060846277848,0.20728767685102026,0.2392658169767206,0.22213175369353588,bow-binary,chi_k-all,kmeans-8-cousine,1,8.0,0.0
0,0.23802914175862058,0.27583343976526153,0.3429507444934217,0.30575210527401386,bow-binary,chi_k-all,kmeans-9-cousine,1,9.0,0.0
0,0.22711039958348886,0.27721584164712026,0.35705493398041116,0.3121104986737157,bow-binary,chi_k-all,kmeans-10-cousine,1,10.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-all,dbscan-1-5-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-all,dbscan-09-5-cosine,1,1.0,0.0
0,0.03755456630963591,0.1454353550908285,0.05427564132500756,0.07905020064542624,bow-binary,chi_k-all,dbscan-07-5-cosine,1,4.0,324.0
0,0.03977491416330241,0.32454934182442935,0.2253486695711313,0.26600118885577007,bow-binary,chi_k-all,dbscan-05-5-cosine,1,16.0,1101.0
0,0.01588460664807433,0.3252355875041754,0.14818802196596373,0.20360631544811789,bow-binary,chi_k-all,dbscan-03-5-cosine,1,15.0,1269.0
0,0.009597915163719155,0.33251171253454664,0.10875683782549746,0.16390437236323194,bow-binary,chi_k-all,dbscan-01-5-cosine,1,11.0,1336.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-all,dbscan-1-10-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-all,dbscan-09-10-cosine,1,1.0,0.0
0,0.051426919019303914,0.1464802023240698,0.06051890604536259,0.08565081919227392,bow-binary,chi_k-all,dbscan-07-10-cosine,1,3.0,435.0
0,0.024704488093843093,0.3383337215030867,0.1944971243620784,0.24700122531465768,bow-binary,chi_k-all,dbscan-05-10-cosine,1,11.0,1184.0
0,0.010680214762034668,0.36907991634666737,0.11148434433724508,0.17124299848430619,bow-binary,chi_k-all,dbscan-03-10-cosine,1,6.0,1332.0
0,0.007798852333078902,0.34900156803940763,0.0936639065453881,0.14769098621796944,bow-binary,chi_k-all,dbscan-01-10-cosine,1,7.0,1359.0
