,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,n_estimators,ccp_alpha,criterion,loss
1140,6.8615549325942995,0.0783850440698193,0.01856098175048828,0.00039205383540755407,0.7986577181208053,0.03075554157688483,0.9891126025354213,0.0014988628815989398,bow,1,1,False,unigram,1600,200,0.0,friedman_mse,deviance
258,6.597976875305176,0.09494353244164888,0.01858227252960205,0.0004712429439084922,0.7926174496644295,0.03224970141405091,0.9877703206562266,0.0010115331816741566,bow,2,1,True,unigram,1600,200,0.0,friedman_mse,deviance
552,6.6552870035171505,0.09243601927505779,0.02280430793762207,0.0007501139097302363,0.7919463087248323,0.03688223265512507,0.9781506338553319,0.001828135819855502,bow,3,1,True,unigram_bigram,1600,200,0.0,friedman_mse,deviance
174,5.236860179901123,0.05797457588292892,0.01889066696166992,0.0004791005157809728,0.7919463087248322,0.03796546476169384,0.9810589112602536,0.0016741196361404647,bow,4,1,True,unigram,800,200,0.0,friedman_mse,deviance
1392,6.424829459190368,0.0857951003419415,0.022765851020812987,0.0007056539371022707,0.791275167785235,0.03428078601106615,0.9736017897091722,0.002409469712364428,bow,5,1,False,unigram_bigram,1400,200,0.0,friedman_mse,deviance
1098,6.535928559303284,0.08091146244950631,0.01874082088470459,0.0005961465660887499,0.791275167785235,0.02885906040268457,0.9876957494407159,0.0009578846069101529,bow,5,1,False,unigram,1400,200,0.0,friedman_mse,deviance
216,6.339483022689819,0.07195365305801014,0.0186140775680542,0.0005325753901697285,0.7899328859060404,0.03233339455153263,0.9871737509321401,0.001995389733073776,bow,7,1,True,unigram,1400,200,0.0,friedman_mse,deviance
1056,5.426101708412171,0.0784084546546323,0.018986988067626952,0.0005815504476178589,0.7899328859060403,0.03233339455153261,0.9829977628635346,0.00159240540671609,bow,8,1,False,unigram,800,200,0.0,friedman_mse,deviance
1434,6.9095659255981445,0.05761003818243336,0.022685909271240236,0.0005315117868251514,0.789261744966443,0.03249320385747707,0.9797166293810589,0.002023066363348325,bow,9,1,False,unigram_bigram,1600,200,0.0,friedman_mse,deviance
510,6.282914638519287,0.09406315885820803,0.023140382766723634,0.0010914909250613635,0.789261744966443,0.03437919053655221,0.9722595078299776,0.003264141480721742,bow,9,1,True,unigram_bigram,1400,200,0.0,friedman_mse,deviance
1014,4.528118419647217,0.14467807678847783,0.018512868881225587,0.0015672961404124702,0.7885906040268457,0.03345622437748863,0.9703206562266965,0.0035731986728444196,bow,11,1,False,unigram,400,200,0.0,friedman_mse,deviance
215,3.2359967947006227,0.034798138579618616,0.015551400184631348,0.0006277324399129666,0.7885906040268456,0.025512184978185526,0.9542878448918717,0.003164667438318109,bow,12,1,True,unigram,1400,100,0.0,friedman_mse,deviance
1097,3.371176910400391,0.048643148570791654,0.015600347518920898,0.0005468943174510179,0.7879194630872484,0.022897613569438913,0.9575689783743474,0.0034245973163922728,bow,13,1,False,unigram,1400,100,0.0,friedman_mse,deviance
1013,2.334360146522522,0.03891998664227605,0.015815186500549316,0.0006205126850281073,0.7865771812080536,0.03636568371582299,0.9321401938851605,0.0028297786668173433,bow,14,1,False,unigram,400,100,0.0,friedman_mse,deviance
132,4.35234432220459,0.11122118563569827,0.019094085693359374,0.0007163890776449428,0.7859060402684563,0.03872314560201785,0.9700223713646533,0.002156127113318551,bow,15,1,True,unigram,400,200,0.0,friedman_mse,deviance
1139,3.5536036014556887,0.05129672026265568,0.015632820129394532,0.00043740314108099904,0.7845637583892617,0.02352825254088336,0.9559284116331096,0.0035677475656690993,bow,16,1,False,unigram,1600,100,0.0,friedman_mse,deviance
509,3.2291614294052122,0.05358852536833061,0.019647789001464844,0.0005689653141712136,0.7845637583892617,0.03154362416107382,0.9391498881431767,0.004073527303131286,bow,16,1,True,unigram_bigram,1400,100,0.0,friedman_mse,deviance
131,2.2664979457855225,0.04820632778509624,0.01572451591491699,0.000420023956230445,0.7845637583892617,0.040763180239087815,0.9297539149888143,0.004122378810167114,bow,16,1,True,unigram,400,100,0.0,friedman_mse,deviance
1096,2.7188828706741335,0.033334672876771464,0.014636969566345215,0.00046388837031592303,0.7845637583892617,0.02675319654764396,0.9357941834451902,0.004826434340129585,bow,16,1,False,unigram,1400,80,0.0,friedman_mse,deviance
551,3.4584381341934205,0.037054287509807944,0.019788646697998048,0.0005890338766073406,0.7838926174496645,0.03326043407614462,0.9462341536167038,0.003258173344512085,bow,20,1,True,unigram_bigram,1600,100,0.0,friedman_mse,deviance
1433,3.588322162628174,0.017724148458042165,0.019830727577209474,0.0008392279151309302,0.7838926174496644,0.02922354504305669,0.950111856823266,0.0023687367896000748,bow,21,1,False,unigram_bigram,1600,100,0.0,friedman_mse,deviance
